cluster_id,post_id,latitude,longitude,street_name,street_num,blockface_id,cap_color,schedule_hash
C00009,440-41030,37.780923,-122.463408,GEARY BLVD,"4,103",440411,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-41050,37.7809198,-122.4634776,GEARY BLVD,"4,105",440411,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00010,105-03910,37.7814025,-122.4633056,05TH AVE,391,105033,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00010,105-03950,37.7813426,-122.4633013,05TH AVE,395,105033,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00010,105-03970,37.7812848,-122.4632971,05TH AVE,397,105033,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00011,106-02810,37.7834665,-122.4645295,06TH AVE,281,106021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03020,37.7828347,-122.464347,06TH AVE,302,106032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03030,37.7827137,-122.4644761,06TH AVE,303,106031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03040,37.7827912,-122.4643438,06TH AVE,304,106032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03050,37.782657,-122.464472,06TH AVE,305,106031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03060,37.7827328,-122.4643396,06TH AVE,306,106032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03080,37.7826659,-122.4643348,06TH AVE,308,106032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,106-03090,37.7825987,-122.4644678,06TH AVE,309,106031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,107-02870,37.7833091,-122.4655926,07TH AVE,287,107021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,107-02890,37.7832475,-122.4655882,07TH AVE,289,107021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00012,107-02910,37.7831884,-122.4655839,07TH AVE,291,107021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
